	x_1	x_2	y
242	Packers signed Aaron Rodgers to a 5yr110 million dollar contract	Aaron Rodgers is a happy man	0
243	Packers signed Aaron Rodgers to a 5yr110 million dollar contract	Aaron Rodgers is now the highestpaid NFL player	1
244	Packers signed Aaron Rodgers to a 5yr110 million dollar contract	Aaron Rodgers just got crazy paid	1
245	Packers signed Aaron Rodgers to a 5yr110 million dollar contract	Aaron Rodgers making 40 Million this season	0
246	Packers signed Aaron Rodgers to a 5yr110 million dollar contract	Damn Aaron Rodgers is going to make 40m this year	0
247	Packers signed Aaron Rodgers to a 5yr110 million dollar contract	Did you miss Aaron Rodgers new contract announcement	0
248	Packers signed Aaron Rodgers to a 5yr110 million dollar contract	The Packers signed Aaron Rodgers to a contract extension you guys	0
249	Packers signed Aaron Rodgers to a 5yr110 million dollar contract	Will Joe Flacco now hold out because Aaron Rodgers is the highest paid QB	0
250	announce the signing of Aaron Rodgers contract extension	40million guarantee for Aaron Rodgers next year	1
251	announce the signing of Aaron Rodgers contract extension	Aaron Rodgers agrees to 5 years 110 million	1
252	announce the signing of Aaron Rodgers contract extension	Aaron Rodgers be making 40 million in his new deal	1
253	announce the signing of Aaron Rodgers contract extension	Aaron Rodgers has won the NFL lottery	0
254	announce the signing of Aaron Rodgers contract extension	Aaron Rodgers is a bad bad man	0
255	announce the signing of Aaron Rodgers contract extension	Aaron Rodgers is highly overrated no need to spend that much money	0
256	announce the signing of Aaron Rodgers contract extension	Aaron Rodgers just signed his contract extension with the packers	1
257	announce the signing of Aaron Rodgers contract extension	Aaron Rodgers will get paid 40 million this season	1
258	announce the signing of Aaron Rodgers contract extension	Aaron Rodgers will make 40 millions in the 2013 season	1
259	announce the signing of Aaron Rodgers contract extension	Also drinks are on Aaron Rodgers	0
260	Aaron Rodgers received a 110 million extension	A source tells us Aaron Rodgers is now the highestpaid player in NFL history	0
261	Aaron Rodgers received a 110 million extension	Aaron Rodgers highest paid in the NFL	1
262	Aaron Rodgers received a 110 million extension	Aaron Rodgers is getting paid 40m this season	0
263	Aaron Rodgers received a 110 million extension	Aaron Rodgers is the new highest paid player in NFL history	0
264	Aaron Rodgers received a 110 million extension	Aaron Rodgers jus put the ink to his new extension	0
265	Aaron Rodgers received a 110 million extension	Aaron Rodgers just one upd the over paid in the game	0
266	Aaron Rodgers received a 110 million extension	How in the fuck does Aaron Rodgers get an extension that big	0
267	Aaron Rodgers received a 110 million extension	Plotting on Aaron Rodgers who wants in	0
268	Aaron Rodgers received a 110 million extension	Randall Cobb will make 666k this year to Aaron Rodgers 40 million	0
269	Aaron Rodgers received a 110 million extension	aaron rodgers deserves every bit of that money	0
270	5 more years for Aaron Rodgers with the packers	Aaron Rodgers 40 million for 1 yr	0
271	5 more years for Aaron Rodgers with the packers	Aaron Rodgers deal with the Packers is 5years 110 million highest salary in NFL history	1
272	5 more years for Aaron Rodgers with the packers	Aaron Rodgers getting that discount double check	0
273	5 more years for Aaron Rodgers with the packers	Aaron Rodgers highest paid QB now	0
274	5 more years for Aaron Rodgers with the packers	Aaron Rodgers signed contract extension with the Packers	1
275	5 more years for Aaron Rodgers with the packers	Aaron Rodgers will make 40million in year 1 of his new contract	0
276	5 more years for Aaron Rodgers with the packers	Damn Aaron Rodgers is going to make 40m this year	0
277	5 more years for Aaron Rodgers with the packers	Green Bay Packers are nothing without Aaron Rodgers that contract extension was necessary	1
278	5 more years for Aaron Rodgers with the packers	The Green Bay Packers have signed quarterback Aaron Rodgers to a contract extension Gezwxm87	1
279	5 more years for Aaron Rodgers with the packers	The Packers just made Aaron Rodgers the richest player in NFL History	1
280	Aaron Rodgers getting 2325million a year	Aaron Rodgers about to get 2325 million a year	1
281	Aaron Rodgers getting 2325million a year	Aaron Rodgers contract extension estimated at 110 million over 5 years or 22 million a year	0
282	Aaron Rodgers getting 2325million a year	Aaron Rodgers got paid very deserving	0
283	Aaron Rodgers getting 2325million a year	Aaron Rodgers is supposed to make 40 million next year just as a football player	0
284	Aaron Rodgers getting 2325million a year	Aaron Rodgers to get 110M over 5 years	0
285	Aaron Rodgers getting 2325million a year	How much they give Aaron Rodgers for that extension	0
286	Aaron Rodgers getting 2325million a year	Meet Aaron Rodgers the gold digger	0
287	Aaron Rodgers getting 2325million a year	QB Aaron Rodgers just signed a contract extension	0
288	Aaron Rodgers getting 2325million a year	So Aaron Rodgers brother is in the draft too	0
289	Aaron Rodgers getting 2325million a year	The Green Bay Packers have signed quarterback Aaron Rodgers to a contract extension Gezwxm87	0
290	The Packers announced they have signed Aaron Rodgers to a contract extension	Aaron Rodgers deserve a big contract	0
291	The Packers announced they have signed Aaron Rodgers to a contract extension	Aaron Rodgers has penned a 5year 110M extension with the Green Bay Packers	1
292	The Packers announced they have signed Aaron Rodgers to a contract extension	Aaron Rodgers is going to make 40M next year	0
293	The Packers announced they have signed Aaron Rodgers to a contract extension	Aaron Rodgers just became the most selfish player in NFL history	0
294	The Packers announced they have signed Aaron Rodgers to a contract extension	Aaron Rodgers signs a 5 year contract extension for The Packers worth 110million	1
295	The Packers announced they have signed Aaron Rodgers to a contract extension	Congrats to Aaron Rodgers new deal worth 5 years 110Mill	1
296	The Packers announced they have signed Aaron Rodgers to a contract extension	Congrats to Aaron Rodgers on becoming the highest paid player in NFL history	0
297	The Packers announced they have signed Aaron Rodgers to a contract extension	I bet youre thrilled with Aaron Rodgers new contract	1
298	The Packers announced they have signed Aaron Rodgers to a contract extension	Over the next 2 years not one will get a higher contract than Aaron Rodgers	0
299	The Packers announced they have signed Aaron Rodgers to a contract extension	Rushing to Lambeau because Aaron Rodgers signed a contract extension on day 2 of the draft	1
300	AARON RODGERS is a BAAAAD MAAAN	5 year 110M contract for AARON RODGERS	1
